basin,name,calwater22,minstor
1113810002,Robinson Creek,-9999,-9999
1113820001,Middle Rockpile Creek,-9999,-9999
1113820002,Red Rock,-9999,-9999
1113820003,Lower Rockpile Creek,-9999,-9999
1113820004,Upper Rockpile Creek,-9999,-9999
1113830001,Flat Ridge Creek,-9999,-9999
1113830002,Harpo Reach,-9999,-9999
1113830003,Grasshopper Creek,-9999,-9999
1113830004,Little Creek,-9999,-9999
1113830005,North Fork Osser Creek,-9999,-9999
1113840101,Tombs Creek,-9999,-9999
1113840102,Wolf Creek,-9999,-9999
1113840103,Buck Mountain,-9999,-9999
1113840201,Pepperwood Creek,-9999,-9999
1113840202,House Creek,-9999,-9999
1113840203,Britain Creek,-9999,-9999
1113840301,Haupt Creek,-9999,-9999
1113840302,Flat Ridge Creek,-9999,-9999
1113840303,Annapolis,-9999,-9999
1113840304,Tobacco Creek,-9999,-9999
1113850101,Upper Marshall Creek,-9999,-9999
1113850102,Lower Marshall Creek,-9999,-9999
1113850103,Middle South Fork Gualala Riv,-9999,-9999
1113850104,Upper South Fork Gualala River,-9999,-9999
1113850201,Big Pepperwood Creek,-9999,-9999
1113850202,Mouth of Gualala River,-9999,-9999
1113850301,Stewarts Point,-9999,-9999
1113850302,Stockoff Creek,-9999,-9999
1113850303,Kolmer Gulch,-9999,-9999
1113850304,Black Point,-9999,-9999
1113900001,Jewell Gulch,-9999,-9999
1113900002,Black Mtn.,-9999,-9999
1114110101,Porter Creek,-9999,-9999
1114110102,Mirabel Park,-9999,-9999
1114110103,Green Valley Creek,-9999,-9999
1114110104,Adam and Eve Redwoods,-9999,-9999
1114110201,Atascadero Creek,-9999,-9999
1114110202,Purrington Creek,-9999,-9999
1114110301,Pocket Canyon,-9999,-9999
1114110302,Hulbert Creek,-9999,-9999
1114110303,Dutch Bill Creek,-9999,-9999
1114110304,Korbel River,-9999,-9999
1114110401,Willow Creek,-9999,-9999
1114110402,Freezeout Creek,-9999,-9999
1114120001,Lower East Gray Creek,-9999,-9999
1114120002,Bearpen Creek,-9999,-9999
1114120003,East Austin Creek,-9999,-9999
1114120004,Ward Creek,-9999,-9999
1114120005,Upper East Gray Creek,-9999,-9999
1114210001,Blucher Creek,-9999,-9999
1114210002,Laguna de Santa Rosa,-9999,-9999
1114210003,Crane Creek,-9999,-9999
1114220101,Rincon Creek,-9999,-9999
1114220102,Pine Creek Reservoir,-9999,-9999
1114220103,Monroe,-9999,-9999
1114220104,Santa Rosa Creek,-9999,-9999
1114220201,Santa Rosa Creek Reservoir,-9999,-9999
1114220202,Upper Matanzas Creek,-9999,-9999
1114220203,South Fork Matanzas Creek,-9999,-9999
1114230101,Humbug Creek,-9999,-9999
1114230102,Porter Creek,-9999,-9999
1114230103,Mark West Springs,-9999,-9999
1114230104,Van Buren Creek,-9999,-9999
1114230201,Pool Creek,-9999,-9999
1114230202,Upper Windsor Creek,-9999,-9999
1114240102,Soda Creek,-9999,-9999
1114240201,McChristian Creek,-9999,-9999
1114240202,Lower Dry Creek,-9999,-9999
1114240203,Cherry Creek,-9999,-9999
1114240204,Galloway Creek,-9999,-9999
1114240301,Dutcher Creek,-9999,-9999
1114240302,Lower Lake Sonoma Creek,-9999,-9999
1114240303,Grape Creek,-9999,-9999
1114240304,Lower Dry Creek,-9999,-9999
1114240305,Smith Creek,-9999,-9999
1114240401,Strawberry Creek,-9999,-9999
1114240402,Warm Springs Creek,-9999,-9999
1114240501,Pechaco Creek,-9999,-9999
1114240502,Redwood Log Creek,-9999,-9999
1114240601,Wallace Creek,-9999,-9999
1114240602,Felta Creek,-9999,-9999
1114240603,Palmer Creek,-9999,-9999
1114250101,Ash Creek,-9999,-9999
1114250102,Cloverdale Creek,-9999,-9999
1114250103,Icaria Creek,-9999,-9999
1114250104,Edwards Creek,-9999,-9999
1114250201,Miller Creek,-9999,-9999
1114250202,Gill Creek,-9999,-9999
1114250301,Sausal Creek,-9999,-9999
1114250302,Brooks Creek,-9999,-9999
1114250303,Gird Creek,-9999,-9999
1114250401,McDonnell Creek,-9999,-9999
1114250402,Kellogg Creek,-9999,-9999
